P_infect = 0.3 P_initial_infect = 0.001 Runs per marginal node = 100000
Node ID	Reward so Far	Marginal gain	Runtime (minutes)
1874	11.97056	-184.29376	10.9108
1669	4.74148	-7.22908	33.1005833348
453	3.9696	-0.77188	39.5708833337
1706	3.67298	-0.29662	46.7371333321
1159	3.41917	-0.25381	48.4441666683
1144	3.18556	-0.23361	49.7278500001
1287	3.07287	-0.11269	61.8981999993
1258	3.00158	-0.07129	71.1331833323
895	2.95217	-0.04941	73.5036166668
278	2.90725	-0.04492	74.1279500008
999	2.87009	-0.03716	74.9057000001
993	2.83825	-0.03184	75.387349999
1274	2.81626	-0.02199	77.2593000015
511	2.79537	-0.02089	77.4889333328
246	2.7753	-0.02007	77.866200002
412	2.75692	-0.01838	78.4017833352
1377	2.7409	-0.01602	79.1407999992
1	2.72732	-0.01358	80.1179166675
465	2.71476	-0.01256	80.580400002
203	2.70332	-0.01144	81.306099999
1151	2.6922	-0.01112	81.5400999983
713	2.68113	-0.01107	81.5664666653
1768	2.67086	-0.01027	82.6573666652
350	2.66211	-0.00875	84.5022666653
1876	2.65354	-0.00857	84.821966668
1440	2.645	-0.00854	84.8759166678
1839	2.6369	-0.0081	86.1815666676
691	2.62908	-0.00782	87.0778166652
1906	2.62153	-0.00755	87.7034333348
547	2.61408	-0.00745	87.9757166664
1369	2.6075	-0.00658	90.8828999996
1792	2.6015	-0.006	93.0651166677
1278	2.59553	-0.00597	93.0928833326
411	2.59006	-0.00547	94.6772499998
1254	2.58468	-0.00538	94.8157666683
390	2.57961	-0.00507	96.2986499985
419	2.57464	-0.00497	96.818233335
869	2.56979	-0.00485	97.3239666661
1952	2.56497	-0.00482	97.4674166679
329	2.56033	-0.00464	97.9765833338
1510	2.55578	-0.00455	98.2329333345
1586	2.55139	-0.00439	98.7765499989
1998	2.54712	-0.00427	99.3205166658
1500	2.54312	-0.004	100.1512
829	2.5393	-0.00382	101.042016665
852	2.53562	-0.00368	101.600233332
1198	2.53208	-0.00354	102.20395
841	2.52856	-0.00352	102.347783335
24	2.52505	-0.00351	102.406716669
1963	2.52172	-0.00333	103.336866669
