P_infect = 0.5 P_initial_infect = 0.005 Runs per marginal node = 100000
Node ID	Reward so Far	Marginal gain	Runtime (minutes)
1874	28.29538	-482.62799	26.3398833315
1669	15.9686	-12.32678	86.6101166646
453	14.41972	-1.54888	154.515166664
1144	13.61066	-0.80906	157.683149997
1159	12.9465	-0.66416	159.503149998
1706	12.41316	-0.53334	161.76918333
246	12.10198	-0.31118	170.441899999
1258	11.89769	-0.20429	178.742899998
1287	11.70974	-0.18795	180.619399997
895	11.56669	-0.14305	190.3221
278	11.45355	-0.11314	203.7761
999	11.35293	-0.10062	215.094699999
1369	11.27937	-0.07356	224.220966665
993	11.20879	-0.07058	225.369433331
1839	11.14595	-0.06284	231.1363
1377	11.08428	-0.06167	232.101783331
1792	11.02788	-0.0564	239.938683331
547	10.97398	-0.0539	249.661616663
1952	10.9222	-0.05178	266.047616665
1	10.87256	-0.04964	282.028433331
713	10.82326	-0.0493	284.004283333
1151	10.77476	-0.0485	288.803799999
1768	10.7268	-0.04796	291.633666666
1274	10.68001	-0.04679	295.636533332
511	10.63512	-0.04489	299.31473333
56	10.59364	-0.04148	302.676683331
412	10.55332	-0.04032	303.369583333
1906	10.51524	-0.03808	306.892683331
1198	10.47742	-0.03782	307.517883333
411	10.44164	-0.03578	313.658116666
1550	10.40601	-0.03563	314.363649996
1701	10.37237	-0.03364	321.811049998
465	10.33914	-0.03323	324.419583333
1278	10.30604	-0.0331	325.840983331
350	10.27327	-0.03277	328.614599999
1238	10.24085	-0.03242	331.903433331
1440	10.20866	-0.03219	334.059066665
1587	10.17667	-0.03199	336.079966664
1876	10.14614	-0.03053	355.083833333
691	10.11593	-0.03021	361.69538333
