P_infect = 0.3 P_initial_infect = 0.005 Runs per marginal node = 100000
Node ID	Reward so Far	Marginal gain	Runtime (minutes)
1874	28.29538	-482.62799	0.248233334223
1669	15.9686	-12.32678	2.10853333473
453	14.41972	-1.54888	2.80308333238
1144	13.61066	-0.80906	3.34101666609
1159	12.9465	-0.66416	3.65843333403
1706	12.41316	-0.53334	3.91463333368
1258	12.18589	-0.22727	5.00923333168
1287	11.97589	-0.21	5.22266666492
895	11.81004	-0.16585	5.52428333362
278	11.68516	-0.12488	6.00161666473
999	11.57492	-0.11024	6.27051666578
1369	11.4959	-0.07902	7.07743333181
993	11.41954	-0.07636	7.24709999959
1839	11.35173	-0.06781	7.63200000127
1792	11.29063	-0.0611	8.14591666857
713	11.23364	-0.05699	8.45496666829
1	11.17927	-0.05437	8.62843333483
1768	11.1259	-0.05337	8.84786666632
511	11.07514	-0.05076	9.16586666505
412	11.02971	-0.04543	9.68214999835
1278	10.98765	-0.04206	10.1872166673
691	10.94777	-0.03988	10.5058666666
411	10.90822	-0.03955	10.7900666674
1377	10.84341	-0.06481	10.885649999
217	10.80516	-0.03825	11.362833333
1906	10.75953	-0.04563	11.4658333341
1198	10.72293	-0.0366	11.8007166664
547	10.66698	-0.05595	11.9024666667
869	10.63134	-0.03564	12.4617666682
1440	10.59607	-0.03527	12.8173666676
465	10.56108	-0.03499	13.0216166655
350	10.52659	-0.03449	13.3264000018
1587	10.49245	-0.03414	13.5879499992
1876	10.45843	-0.03402	13.7890333335
1998	10.42631	-0.03212	14.6224499981
1987	10.39439	-0.03192	14.8304999987
203	10.36282	-0.03157	15.1333166679
817	10.33191	-0.03091	15.7761500001
329	10.30179	-0.03012	16.3086833318
808	10.27209	-0.0297	16.7911500017
