P_infect = 0.3 P_initial_infect = 0.005 Runs per marginal node = 100000
Node ID	Reward so Far	Marginal gain	Runtime (minutes)
1144	11585.41689	-27679.58311	1.02029999892
453	10734.70472	-850.71217	6.23491666714
1874	10530.4524	-204.25232	8.32471666733
1159	10379.1074	-151.345	9.83768333197
1706	10231.45298	-147.65442	10.4218666673
895	10103.50373	-127.94925	11.369266665
278	9980.26963	-123.2341	11.6061833342
480	9910.98024	-69.28939	13.5109500011
1669	9843.97218	-67.00806	13.7491666675
808	9777.53092	-66.44126	13.9900333325
1996	9717.33378	-60.19714	14.5938833316
984	9662.48283	-54.85095	15.1980999986
301	9612.45889	-50.02394	15.9232666651
1301	9564.923	-47.53589	16.4067999999
1753	9529.17823	-35.74477	17.2586500009
1493	9474.78822	-54.39001	17.5010333339
993	9439.75684	-35.03138	17.7439666669
419	9408.11481	-31.64203	18.2314166665
1287	9377.2973	-30.81751	18.8424999992
1833	9347.78429	-29.51301	19.2109333316
329	9320.88521	-26.89908	19.9462833325
829	9285.67039	-35.21482	20.1956833323
713	9259.19485	-26.47554	20.8210333347
1377	8976.81279	-282.38206	21.0761666656
1365	8921.55203	-55.26076	21.3288333337
1501	8896.60195	-24.95008	22.0877999981
1906	8872.06126	-24.54069	22.3416166663
547	8682.31563	-189.74563	22.5971833348
1587	8658.64937	-23.66626	22.8545833349
71	8620.26695	-38.38242	23.1144500017
1768	8599.90692	-20.36003	23.8930666685
396	8543.8645	-56.04242	24.1548166672
1	8524.64044	-19.22406	24.8035833319
1539	8479.91774	-44.7227	25.0660333316
1979	8428.01516	-51.90258	25.3277999997
146	8375.85493	-52.16023	25.5887333314
1995	8344.28362	-31.57131	25.8497333328
539	8319.14942	-25.1342	26.113349998
203	8300.95102	-18.1984	27.1653666655
344	8283.13764	-17.81338	27.4289833347
1274	8229.39936	-53.73828	27.6922000011
1194	8200.13271	-29.26665	27.9582666675
869	8183.80811	-16.3246	29.0206500014
25	8158.05843	-25.74968	29.2882333318
265	8114.28386	-43.77457	29.5540166656
1942	8086.61627	-27.66759	29.8214333336
1011	8070.53681	-16.07946	30.3586666663
1670	8042.35823	-28.17858	30.626850001
675	8020.84699	-21.51124	30.8978000005
656	8002.22525	-18.62174	31.1677000006
